Date;Quarter;Qtr;Year;Customer ID;"Total_amount";"Profit Percentage(%)";Profit (INR);Cost Price
1/1/2018;2018 - Q1;1;2018;B07FWXWZT;1084;13;129.87;869.13
1/2/2018;2018 - Q1;1;2018;B07FWVXXU;725;17;108.8;531.2
1/3/2018;2018 - Q1;1;2018;B07FWVXZS;800;17;121.55;593.45
1/4/2018;2018 - Q1;1;2018;B07FWYXVQ;650;13;73.45;491.55
1/4/2018;2018 - Q1;1;2018;B07FWXATQ;579;13;64.22;429.78
1/5/2018;2018 - Q1;1;2018;B07FWYYRZ;510;13;55.25;369.75
1/5/2018;2018 - Q1;1;2018;B07FWYSTS;650;13;73.45;491.55
1/5/2018;2018 - Q1;1;2018;B07FWXVTV;650;13;73.45;491.55
1/6/2018;2018 - Q1;1;2018;B07FWWTVV;285;17;34;166
1/6/2018;2018 - Q1;1;2018;B07FWXSXU;695;17;103.7;506.3
1/6/2018;2018 - Q1;1;2018;B07FWXSVW;628;13;70.59;472.41
1/6/2018;2018 - Q1;1;2018;B07FWYXQQ;628;13;70.59;472.41
1/6/2018;2018 - Q1;1;2018;B07FWYXZX;730;13;83.85;561.15
1/7/2018;2018 - Q1;1;2018;B07FWYVTZ;650;13;73.45;491.55
1/7/2018;2018 - Q1;1;2018;B07FWVYWQ;628;13;70.59;472.41
1/7/2018;2018 - Q1;1;2018;B07FWYTRU;1084;13;129.87;869.13
1/8/2018;2018 - Q1;1;2018;B07FWXWVY;1084;13;129.87;869.13
1/8/2018;2018 - Q1;1;2018;B07FWXSZQ;695;17;103.7;506.3
1/8/2018;2018 - Q1;1;2018;B07FWYZWR;535;17;76.5;373.5
1/8/2018;2018 - Q1;1;2018;B07FWWWZU;725;17;108.8;531.2
1/8/2018;2018 - Q1;1;2018;B07FWVVTW;650;13;73.45;491.55
1/8/2018;2018 - Q1;1;2018;B07FWYWQV;775;17;117.3;572.7
1/9/2018;2018 - Q1;1;2018;B07FWXVXV;1084;13;129.87;869.13
1/9/2018;2018 - Q1;1;2018;B07FWWUVR;570;13;63.05;421.95
1/9/2018;2018 - Q1;1;2018;B07FWXUQW;1565;13;192.4;1287.6
1/9/2018;2018 - Q1;1;2018;B07FWXSXX;1565;13;192.4;1287.6
1/9/2018;2018 - Q1;1;2018;B07FWWTSR;1044;18;172.62;786.38
1/10/2018;2018 - Q1;1;2018;B07FWWWVX;345;17;44.2;215.8
1/10/2018;2018 - Q1;1;2018;B07FWVVTS;695;17;103.7;506.3
1/10/2018;2018 - Q1;1;2018;B07FWXWYU;695;17;103.7;506.3
1/11/2018;2018 - Q1;1;2018;B07FWYTVQ;285;17;34;166
1/11/2018;2018 - Q1;1;2018;B07FWVWYU;995;13;118.3;791.7
1/11/2018;2018 - Q1;1;2018;B07FWYYST;695;17;103.7;506.3
1/12/2018;2018 - Q1;1;2018;B07FWWBVW;550;13;60.45;404.55
1/12/2018;2018 - Q1;1;2018;B07FWWTSZ;695;17;103.7;506.3
1/12/2018;2018 - Q1;1;2018;B07FWWTWR;1084;13;129.87;869.13
1/12/2018;2018 - Q1;1;2018;B07FWVYWZ;1044;18;172.62;786.38
1/12/2018;2018 - Q1;1;2018;B07FWWBQX;510;13;55.25;369.75
1/12/2018;2018 - Q1;1;2018;B07FWXYZS;730;13;83.85;561.15
1/12/2018;2018 - Q1;1;2018;B07FWVBUV;695;17;103.7;506.3
1/12/2018;2018 - Q1;1;2018;B07FWYUWS;700;17;104.55;510.45
1/12/2018;2018 - Q1;1;2018;B07FWYVTY;550;13;60.45;404.55
1/13/2018;2018 - Q1;1;2018;B07FWXWXW;510;13;55.25;369.75
1/13/2018;2018 - Q1;1;2018;B07FWWWZV;853;17;130.56;637.44
1/13/2018;2018 - Q1;1;2018;B07FWXYTR;725;17;108.8;531.2
1/14/2018;2018 - Q1;1;2018;B07FWXBXU;260;17;29.75;145.25
1/14/2018;2018 - Q1;1;2018;B07FWXYVT;1044;18;172.62;786.38
1/15/2018;2018 - Q1;1;2018;B07FWYBZQ;260;17;29.75;145.25
1/15/2018;2018 - Q1;1;2018;B07FWYTZV;984;13;116.87;782.13
1/15/2018;2018 - Q1;1;2018;B07FWXYYR;853;17;130.56;637.44
1/15/2018;2018 - Q1;1;2018;B07FWXVVT;853;17;130.56;637.44
1/15/2018;2018 - Q1;1;2018;B07FWWBRT;853;17;130.56;637.44
1/15/2018;2018 - Q1;1;2018;B07FWWSZU;984;13;116.87;782.13
1/15/2018;2018 - Q1;1;2018;B07FWXYYW;984;13;116.87;782.13
1/15/2018;2018 - Q1;1;2018;B07FWWWQW;550;13;60.45;404.55
1/15/2018;2018 - Q1;1;2018;B07FWWAXS;984;13;116.87;782.13
1/15/2018;2018 - Q1;1;2018;B07FWYTUW;510;13;55.25;369.75
1/15/2018;2018 - Q1;1;2018;B07FWYYYR;1335;13;162.5;1087.5
1/15/2018;2018 - Q1;1;2018;B07FWWAZW;984;13;116.87;782.13
1/15/2018;2018 - Q1;1;2018;B07FWXXVY;984;13;116.87;782.13
1/16/2018;2018 - Q1;1;2018;B07FWYVTV;984;13;116.87;782.13
1/17/2018;2018 - Q1;1;2018;B07FWYBZU;550;13;60.45;404.55
1/17/2018;2018 - Q1;1;2018;B07FWWSXY;550;13;60.45;404.55
1/17/2018;2018 - Q1;1;2018;B07FWYYWW;984;13;116.87;782.13
1/17/2018;2018 - Q1;1;2018;B07FWXAZU;984;13;116.87;782.13
1/17/2018;2018 - Q1;1;2018;B07FWWTTS;984;13;116.87;782.13
1/18/2018;2018 - Q1;1;2018;B07FWWYZZ;765;17;115.6;564.4
1/18/2018;2018 - Q1;1;2018;B07FWVXYS;984;13;116.87;782.13
1/19/2018;2018 - Q1;1;2018;B07FWWTTS;984;13;116.87;782.13
1/20/2018;2018 - Q1;1;2018;B07FWYAZW;579;13;64.22;429.78
1/20/2018;2018 - Q1;1;2018;B07FWWYTX;650;13;73.45;491.55
1/20/2018;2018 - Q1;1;2018;B07FWWZUT;842;13;98.41;658.59
1/20/2018;2018 - Q1;1;2018;B07FWVWUR;393;13;40.04;267.96
1/21/2018;2018 - Q1;1;2018;B07FWYVSS;842;13;98.41;658.59
1/21/2018;2018 - Q1;1;2018;B07FWXSRX;853;17;130.56;637.44
1/21/2018;2018 - Q1;1;2018;B07FWYWVV;725;17;108.8;531.2
1/22/2018;2018 - Q1;1;2018;B07FWXYRV;535;17;76.5;373.5
1/22/2018;2018 - Q1;1;2018;B07FWWTZX;680;17;101.15;493.85
1/22/2018;2018 - Q1;1;2018;B07FWWVWY;650;13;73.45;491.55
1/22/2018;2018 - Q1;1;2018;B07FWXTVZ;650;13;73.45;491.55
1/22/2018;2018 - Q1;1;2018;B07FWXSZV;680;17;101.15;493.85
1/22/2018;2018 - Q1;1;2018;B07FWWYWV;680;17;101.15;493.85
1/22/2018;2018 - Q1;1;2018;B07FWYTUR;680;17;101.15;493.85
